Query,Expected_Image
thermal mapping layout,../data/2604.02139v1/images/p0011_figure_00005.png
retrieval performance metrics chart,../data/2603.28603v1/images/p0019_figure_00007.png
vector field lines visualization,../data/2604.02139v1/images/p0009_figure_00003.png
algorithm execution latency graph,../data/2603.28549v1/images/p0002_figure_00001.png
broken links proportion statistics,../data/2604.03173v1/images/p0004_figure_00001.png
text instructions for autonomous web agent,../data/2604.03189v1/images/p0024_figure_00008.png
visualized model attention overlaid on structural data,../data/2604.02397v1/images/p0018_figure_00007.png
time series alignment algorithmic flow,../data/2604.02445v1/images/p0004_figure_00002.png
instructional prompt template for software interaction,../data/2604.03189v1/images/p0023_figure_00007.png
visual comparison of generated spatial structures,../data/2604.02397v1/images/p0018_figure_00008.png
hierarchical classification of visual search techniques,../data/2012.00641v2/images/p0002_figure_00002.png
classification margins in cognitive inhibition tests,../data/2603.28600v1/images/p0015_figure_00004.png
twin architecture for measuring data proximity,../data/2012.00641v2/images/p0007_figure_00007.png
performance decay in spatial reasoning after token reduction,../data/2604.02343v1/images/p0049_figure_00020.png
spatial spread of observable natural events,../data/2604.02817v1/images/p0019_figure_00012.png
signal waveform restoration deviation plot,../data/2603.28549v1/images/p0006_figure_00006.png
graphical representation of integer-float mixed precision format,../data/2603.28765v1/images/p0002_figure_00001.png
verification of grouped signal anomalous behavior,../data/2603.29785v1/images/p0010_figure_00010.png
performance impact analysis by removing specific architectural components,../data/2604.02798v1/images/p0008_figure_00005.png
receiver operating characteristic degradation caused by attribute masking,../data/2604.03199v1/images/p0007_figure_00003.png
benchmarking different architectural approaches,../data/2604.02911v1/images/p0006_figure_00004.png
block diagram of the proposed deep learning system,../data/2604.02139v1/images/p0007_figure_00002.png
2D scatter plot of high-dimensional dataset embeddings,../data/2603.28466v1/images/p0005_figure_00002.png
grade school math token reduction efficacy chart,../data/2604.02343v1/images/p0044_figure_00009.png
drone zigzag flight path over terrain,../data/2604.02478v1/images/p0006_figure_00002.png
average root mean square deviation of predictive models,../data/2603.29981v1/images/p0025_figure_00013.png
brain neurochemical spatial distribution visualization,../data/2604.03150v1/images/p0011_figure_00003.png
initial procedural steps for application benchmark,../data/2604.03189v1/images/p0026_figure_00011.png
arithmetic reasoning token optimization results,../data/2604.02343v1/images/p0049_figure_00019.png
model robustness against concept shift based on structural design,../data/2601.04170v1/images/p0008_figure_00003.png
